2024-03-03 14:50:20,244 INFO    MainThread:83721 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-03 14:50:20,245 INFO    MainThread:83721 [wandb_setup.py:_flush():76] Configure stats pid to 83721
2024-03-03 14:50:20,245 INFO    MainThread:83721 [wandb_setup.py:_flush():76] Loading settings from /Users/nathanirniger/.config/wandb/settings
2024-03-03 14:50:20,245 INFO    MainThread:83721 [wandb_setup.py:_flush():76] Loading settings from /Users/nathanirniger/Desktop/FS24/PLR/exercise/plr-exercise/scripts/wandb/settings
2024-03-03 14:50:20,246 INFO    MainThread:83721 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-03 14:50:20,246 INFO    MainThread:83721 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-03 14:50:20,246 INFO    MainThread:83721 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts/train.py', 'program_abspath': '/Users/nathanirniger/Desktop/FS24/PLR/exercise/plr-exercise/scripts/train.py', 'program': '/Users/nathanirniger/Desktop/FS24/PLR/exercise/plr-exercise/scripts/train.py'}
2024-03-03 14:50:20,246 INFO    MainThread:83721 [wandb_init.py:_log_setup():526] Logging user logs to /Users/nathanirniger/Desktop/FS24/PLR/exercise/plr-exercise/scripts/wandb/run-20240303_145020-jyxlqr7l/logs/debug.log
2024-03-03 14:50:20,246 INFO    MainThread:83721 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/nathanirniger/Desktop/FS24/PLR/exercise/plr-exercise/scripts/wandb/run-20240303_145020-jyxlqr7l/logs/debug-internal.log
2024-03-03 14:50:20,246 INFO    MainThread:83721 [wandb_init.py:init():566] calling init triggers
2024-03-03 14:50:20,247 INFO    MainThread:83721 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-03 14:50:20,247 INFO    MainThread:83721 [wandb_init.py:init():616] starting backend
2024-03-03 14:50:20,247 INFO    MainThread:83721 [wandb_init.py:init():620] setting up manager
2024-03-03 14:50:20,249 INFO    MainThread:83721 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-03 14:50:20,252 INFO    MainThread:83721 [wandb_init.py:init():628] backend started and connected
2024-03-03 14:50:20,257 INFO    MainThread:83721 [wandb_init.py:init():720] updated telemetry
2024-03-03 14:50:20,289 INFO    MainThread:83721 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-03 14:50:20,866 INFO    MainThread:83721 [wandb_run.py:_on_init():2262] communicating current version
2024-03-03 14:50:21,188 INFO    MainThread:83721 [wandb_run.py:_on_init():2271] got version response 
2024-03-03 14:50:21,188 INFO    MainThread:83721 [wandb_init.py:init():804] starting run threads in backend
2024-03-03 14:50:21,258 INFO    MainThread:83721 [wandb_run.py:_console_start():2241] atexit reg
2024-03-03 14:50:21,258 INFO    MainThread:83721 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-03 14:50:21,258 INFO    MainThread:83721 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-03 14:50:21,258 INFO    MainThread:83721 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-03 14:50:21,259 INFO    MainThread:83721 [wandb_init.py:init():847] run started, returning control to user process
2024-03-03 14:51:56,493 WARNING MsgRouterThr:83721 [router.py:message_loop():77] message_loop has been closed
